epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /assets/index-5XNqcKze.css HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /api/auth/user HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:25 PM [express] GET /api/auth/user 304 in 11ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a",…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /api/status-options HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:25 PM [express] GET /api/status-options 304 in 22ms :: []
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /api/members HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:25 PM [express] GET /api/members 304 in 27ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /api/sync/status HTTP/1.1" 200 124 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:25 PM [express] GET /api/sync/status 200 in 29ms :: {"success":"true","syncedAt":"2025-10-18T17…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET /api/epaper/verify HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:25 PM [express] GET /api/epaper/verify 304 in 54ms :: [{"username":"admin","epaperStatus":{"val…
epaper-db     | 2025-10-18 17:45:18.062 UTC [53] LOG:  checkpoint starting: time
epaper-db     | 2025-10-18 17:45:29.914 UTC [53] LOG:  checkpoint complete: wrote 121 buffers (0.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=11.842 s, sync=0.003 s, total=11.852 s; sync files=73, longest=0.001 s, average=0.001 s; distance=543 kB, estimate=543 kB; lsn=0/19A6770, redo lsn=0/19A6738
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /assets/index-5XNqcKze.css HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /api/auth/user HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:42 PM [express] GET /api/auth/user 304 in 33ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a",…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /api/status-options HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:42 PM [express] GET /api/status-options 304 in 19ms :: []
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /api/members HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:42 PM [express] GET /api/members 304 in 23ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /api/sync/status HTTP/1.1" 200 124 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:42 PM [express] GET /api/sync/status 200 in 25ms :: {"success":"true","syncedAt":"2025-10-18T17…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:42 +0000] "GET /api/epaper/verify HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:42 PM [express] GET /api/epaper/verify 304 in 74ms :: [{"username":"admin","epaperStatus":{"val…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /assets/index-5XNqcKze.css HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /api/auth/user HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:45 PM [express] GET /api/auth/user 304 in 16ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a",…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:45 PM [express] GET /api/status-options 304 in 40ms :: []
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /api/status-options HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /api/members HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:45 PM [express] GET /api/members 304 in 48ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /api/epaper/verify HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:45 PM [express] GET /api/epaper/verify 304 in 37ms :: [{"username":"admin","epaperStatus":{"val…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:45 +0000] "GET /api/sync/status HTTP/1.1" 200 122 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:45:45 PM [express] GET /api/sync/status 200 in 64ms :: {"success":"true","syncedAt":"2025-10-18T17…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:47 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:45:47 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
